percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.01,1,1,S,29553,Mycoplasmopsis bovirhinis,kraken2_basic
0.01,1,1,S,2094,Mycoplasmopsis arginini,kraken2_basic
0.01,1,1,S,33923,Mycoplasmopsis felis,kraken2_basic
0.13,13,2,G,2923352,Mesomycoplasma,kraken2_basic
0.04,4,4,S,29562,Mesomycoplasma ovipneumoniae,kraken2_basic
0.02,2,1,S,2099,Mesomycoplasma hyopneumoniae,kraken2_basic
0.01,1,1,S1,262719,Mesomycoplasma hyopneumoniae J,kraken2_basic
0.01,1,1,S,2100,Mesomycoplasma hyorhinis,kraken2_basic
0.01,1,1,S,2120,Mesomycoplasma neurolyticum,kraken2_basic
0.01,1,1,S,86660,Mesomycoplasma dispar,kraken2_basic
0.01,1,1,S,171286,Mesomycoplasma lagogenitalium,kraken2_basic
0.01,1,1,S,171288,Mesomycoplasma molare,kraken2_basic
0.03,3,0,G,2895509,Metamycoplasma,kraken2_basic
0.01,1,1,S,2098,Metamycoplasma hominis,kraken2_basic
0.01,1,1,S,29554,Metamycoplasma canadense,kraken2_basic
0.01,1,1,S,92402,Metamycoplasma equirhinis,kraken2_basic
0.01,1,0,F,2790998,Mycoplasmoidaceae,kraken2_basic
0.01,1,0,G,2791001,Malacoplasma,kraken2_basic
0.01,1,1,S,2116,Malacoplasma iowae,kraken2_basic
0.01,1,0,C,1912503,Candidatus Izimaplasma,kraken2_basic
0.01,1,0,O,2975519,Candidatus Izemoplasmatales,kraken2_basic
0.01,1,0,F,3078170,Hujiaoplasmataceae,kraken2_basic
0.01,1,0,G,3078171,Hujiaoplasma,kraken2_basic
0.01,1,1,S,2725268,Hujiaoplasma nucleasis,kraken2_basic
0.66,66,0,P,201174,Actinomycetota,kraken2_basic
0.66,66,0,C,1760,Actinomycetes,kraken2_basic
0.65,65,0,O,85011,Kitasatosporales,kraken2_basic
0.65,65,0,F,2062,Streptomycetaceae,kraken2_basic
0.65,65,0,G,1883,Streptomyces,kraken2_basic
0.65,65,0,G1,2593676,unclassified Streptomyces,kraken2_basic
0.58,58,58,S,3129111,Streptomyces sp. TG1A-60,kraken2_basic
