percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.01,1,1,S,196024,Aeromonas dhakensis,pluspf
0.01,1,0,O,3399795,Candidatus Johnevansiales,pluspf
0.01,1,0,F,3399796,Candidatus Johnevansiaceae,pluspf
0.01,1,0,G,235572,Candidatus Portiera,pluspf
0.01,1,1,S,91844,Candidatus Portiera aleyrodidarum,pluspf
0.01,1,0,O,118969,Legionellales,pluspf
0.01,1,0,F,118968,Coxiellaceae,pluspf
0.01,1,0,G,59195,Rickettsiella,pluspf
0.01,1,1,S,676208,Candidatus Rickettsiella viridis,pluspf
0.01,1,0,O,135622,Alteromonadales,pluspf
0.01,1,0,F,267890,Shewanellaceae,pluspf
0.01,1,0,G,22,Shewanella,pluspf
0.01,1,1,G1,196818,unclassified Shewanella,pluspf
0.19,19,3,C,28211,Alphaproteobacteria,pluspf
0.04,4,0,O,356,Hyphomicrobiales,pluspf
0.02,2,0,F,772,Bartonellaceae,pluspf
0.02,2,0,G,773,Bartonella,pluspf
0.01,1,1,G1,2645622,unclassified Bartonella,pluspf
0.01,1,1,S,1318743,Bartonella ancashensis,pluspf
0.01,1,0,F,69277,Phyllobacteriaceae,pluspf
0.01,1,0,G,28100,Phyllobacterium,pluspf
0.01,1,1,S,1867719,Phyllobacterium zundukense,pluspf
0.01,1,0,F,2036754,Chelatococcaceae,pluspf
0.01,1,0,G,28209,Chelatococcus,pluspf
0.01,1,1,S,444444,Chelatococcus daeguensis,pluspf
0.03,3,0,O,766,Rickettsiales,pluspf
0.02,2,0,F,942,Anaplasmataceae,pluspf
0.01,1,0,G,943,Ehrlichia,pluspf
0.01,1,0,G1,106178,canis group,pluspf
0.01,1,1,S,779,Ehrlichia ruminantium,pluspf
0.01,1,0,G,2883098,Candidatus Mesenet,pluspf
0.01,1,0,G1,3066220,unclassified Candidatus Mesenet,pluspf
0.01,1,1,S,3066221,Candidatus Mesenet endosymbiont of Phosphuga atrata,pluspf
0.01,1,0,F,775,Rickettsiaceae,pluspf
0.01,1,1,F1,33988,Rickettsieae,pluspf
0.03,3,0,O,54526,Candidatus Pelagibacterales,pluspf
0.02,2,0,F,1655514,Candidatus Pelagibacteraceae,pluspf
0.02,2,0,G,198251,Candidatus Pelagibacter,pluspf
0.02,2,0,G1,2647897,unclassified Candidatus Pelagibacter,pluspf
0.01,1,1,S,3230990,Candidatus Pelagibacter sp. Uisw_134_02,pluspf
0.01,1,1,S,1977865,Candidatus Pelagibacter sp. RS40,pluspf
0.01,1,0,O1,2813274,Candidatus Pelagibacterales incertae sedis,pluspf
0.01,1,0,G,2045213,Candidatus Fonsibacter,pluspf
0.01,1,1,S,1925548,Candidatus Fonsibacter ubiquis,pluspf
0.03,3,0,O,204455,Rhodobacterales,pluspf
0.02,2,0,F,2854170,Roseobacteraceae,pluspf
0.02,2,0,G,53945,Octadecabacter,pluspf
0.02,2,0,S,53946,Octadecabacter arcticus,pluspf
0.02,2,2,S1,391616,Octadecabacter arcticus 238,pluspf
0.01,1,0,F,31989,Paracoccaceae,pluspf
0.01,1,0,G,265,Paracoccus,pluspf
0.01,1,1,S,2065379,Paracoccus jeotgali,pluspf
0.01,1,0,O,3120395,Acetobacterales,pluspf
0.01,1,0,F,433,Acetobacteraceae,pluspf
0.01,1,0,G,434,Acetobacter,pluspf
0.01,1,1,S,1633874,Acetobacter oryzifermentans,pluspf
0.01,1,0,O,3119832,Candidatus Puniceispirillales,pluspf
0.01,1,0,F,3457285,Candidatus Levibacteraceae,pluspf
0.01,1,0,G,3457288,Candidatus Levibacter,pluspf
0.01,1,0,G1,3458429,unclassified Candidatus Levibacter,pluspf
0.01,1,1,S,3230999,Candidatus Levibacter sp. Uisw_134_01,pluspf
0.01,1,0,O,204458,Caulobacterales,pluspf
0.01,1,0,F,76892,Caulobacteraceae,pluspf
0.01,1,0,G,76890,Asticcacaulis,pluspf
0.01,1,0,G1,2628350,unclassified Asticcacaulis,pluspf
0.01,1,1,S,3095608,Asticcacaulis sp. DW145,pluspf
0.12,12,1,C,28216,Betaproteobacteria,pluspf
0.04,4,0,C1,119066,Betaproteobacteria incertae sedis,pluspf
0.02,2,0,G,33055,Candidatus Kinetoplastidibacterium,pluspf
0.01,1,0,S,994692,Candidatus Kinetoplastidibacterium desouzai,pluspf
0.01,1,1,S1,1208919,Candidatus Kinetoplastidibacterium desouzai TCC079E,pluspf
0.01,1,1,S,1576550,Candidatus Kinetoplastidibacterium kentomonadis,pluspf
0.02,2,0,G,1381133,Candidatus Profftella,pluspf
0.02,2,2,S,669502,Candidatus Profftella armatura,pluspf
0.03,3,0,O,206351,Neisseriales,pluspf
0.03,3,1,F,481,Neisseriaceae,pluspf
0.02,2,0,G,194195,Alysiella,pluspf
0.02,2,2,S,194196,Alysiella filiformis,pluspf
0.02,2,0,O,32003,Nitrosomonadales,pluspf
0.01,1,0,F,32011,Methylophilaceae,pluspf
0.01,1,0,G,1679002,Candidatus Methylopumilus,pluspf
0.01,1,1,S,2588535,Candidatus Methylopumilus rimovensis,pluspf
0.01,1,0,F,206379,Nitrosomonadaceae,pluspf
0.01,1,1,G,914,Nitrosomonas,pluspf
0.02,2,0,O,80840,Burkholderiales,pluspf
0.01,1,0,F,80864,Comamonadaceae,pluspf
0.01,1,0,G,34072,Variovorax,pluspf
0.01,1,0,G1,663243,unclassified Variovorax,pluspf
0.01,1,1,S,3065954,Variovorax sp. V118,pluspf
0.01,1,0,F,119060,Burkholderiaceae,pluspf
0.01,1,0,G,32008,Burkholderia,pluspf
0.01,1,0,G1,111527,pseudomallei group,pluspf
0.01,1,1,S,1503053,Burkholderia singularis,pluspf
0.39,39,0,K1,1783270,FCB group,pluspf
0.39,39,0,K2,68336,Bacteroidota/Chlorobiota group,pluspf
0.39,39,2,P,976,Bacteroidota,pluspf
0.25,25,0,C,117743,Flavobacteriia,pluspf
0.25,25,0,O,200644,Flavobacteriales,pluspf
0.18,18,0,F,49546,Flavobacteriaceae,pluspf
0.05,5,0,G,237,Flavobacterium,pluspf
0.02,2,0,G1,196869,unclassified Flavobacterium,pluspf
0.01,1,1,S,2986834,Flavobacterium sp. N2820,pluspf
0.01,1,1,S,3031997,Flavobacterium sp. YJ01,pluspf
0.01,1,1,S,2937442,Flavobacterium humidisoli,pluspf
0.01,1,1,S,2856519,Flavobacterium litorale,pluspf
0.01,1,1,S,3003260,Flavobacterium gelatinilyticum,pluspf
0.03,3,0,G,104267,Tenacibaculum,pluspf
0.02,2,1,G1,2635139,unclassified Tenacibaculum,pluspf
0.01,1,1,S,3447503,Tenacibaculum sp. ZS6-P6,pluspf
0.01,1,1,S,104270,Tenacibaculum ovolyticum,pluspf
0.02,2,0,G,76831,Myroides,pluspf
0.01,1,1,S,480520,Myroides profundi,pluspf
0.01,1,1,S,702745,Myroides phaeus,pluspf
0.01,1,0,G,379068,Galbibacter,pluspf
0.01,1,0,G1,2632773,unclassified Galbibacter,pluspf
0.01,1,1,S,1170699,Galbibacter sp. BG1,pluspf
0.01,1,0,G,252356,Maribacter,pluspf
0.01,1,0,G1,2615042,unclassified Maribacter,pluspf
0.01,1,1,S,2496865,Maribacter sp. MJ134,pluspf
0.01,1,0,G,225842,Formosa,pluspf
0.01,1,0,G1,2644710,unclassified Formosa,pluspf
0.01,1,1,S,2686363,Formosa sp. L2A11,pluspf
0.01,1,1,G,444051,Mesoflavibacter,pluspf
0.01,1,0,G,104264,Cellulophaga,pluspf
0.01,1,0,G1,2634405,unclassified Cellulophaga,pluspf
0.01,1,1,S,1942464,Cellulophaga sp. HaHaR_3_176,pluspf
0.01,1,0,G,527198,Mariniflexile,pluspf
0.01,1,1,S,3045158,Mariniflexile litorale,pluspf
0.01,1,0,G,561367,Salinimicrobium,pluspf
0.01,1,0,G1,2643747,unclassified Salinimicrobium,pluspf
0.01,1,1,S,3121289,Salinimicrobium sp. TIG7-5_MAKvit,pluspf
0.01,1,1,G,292691,Christiangramia,pluspf
0.07,7,0,F,2762318,Weeksellaceae,pluspf
0.07,7,0,F1,2782232,Chryseobacterium group,pluspf
0.05,5,3,G,59732,Chryseobacterium,pluspf
0.01,1,1,S,1685010,Chryseobacterium glaciei,pluspf
0.01,1,0,G1,2593645,unclassified Chryseobacterium,pluspf
0.01,1,1,S,2015076,Chryseobacterium sp. T16E-39,pluspf
0.02,2,0,G,2782231,Kaistella,pluspf
0.01,1,1,S,266749,Kaistella jeonii,pluspf
0.01,1,1,S,2852098,Kaistella faecalis,pluspf
0.04,4,0,C,200643,Bacteroidia,pluspf
0.02,2,0,O,171549,Bacteroidales,pluspf
0.01,1,0,F,815,Bacteroidaceae,pluspf
0.01,1,0,G,816,Bacteroides,pluspf
0.01,1,1,S,310300,Bacteroides pyogenes,pluspf
0.01,1,0,F,171552,Prevotellaceae,pluspf
0.01,1,0,G,838,Prevotella,pluspf
0.01,1,1,S,28132,Prevotella melaninogenica,pluspf
0.02,2,0,O,1970189,Marinilabiliales,pluspf
0.01,1,0,F,1471398,Prolixibacteraceae,pluspf
0.01,1,0,G,2678352,Maribellus,pluspf
0.01,1,1,S,2681766,Maribellus comscasis,pluspf
0.01,1,0,F,1573805,Marinifilaceae,pluspf
0.01,1,0,G,2060722,Labilibaculum,pluspf
0.01,1,1,S,1717717,Labilibaculum antarcticum,pluspf
0.03,3,0,C,117747,Sphingobacteriia,pluspf
0.03,3,0,O,200666,Sphingobacteriales,pluspf
0.03,3,0,F,84566,Sphingobacteriaceae,pluspf
0.02,2,2,G,84567,Pedobacter,pluspf
0.01,1,0,G,423349,Mucilaginibacter,pluspf
